┌────────┬───────────┬────────┬────────┬─────────────────┬────────────────────┬───────────────────────┬────────────────────┬──────────────────────┬──────────────┬─────────────────┬────────────────────┬─────────────────┬───────────────────┐
│     id │      name │   nvar │   ncon │ status_percival │ objective_percival │ elapsed_time_percival │ dual_feas_percival │ primal_feas_percival │ status_ipopt │ objective_ipopt │ elapsed_time_ipopt │ dual_feas_ipopt │ primal_feas_ipopt │
├────────┼───────────┼────────┼────────┼─────────────────┼────────────────────┼───────────────────────┼────────────────────┼──────────────────────┼──────────────┼─────────────────┼────────────────────┼─────────────────┼───────────────────┤
│     59 │      HS28 │      3 │      1 │     first_order │           0.00e+00 │              0.00e+00 │           5.43e-11 │             8.81e-05 │  first_order │        1.23e-30 │           1.00e-03 │        1.80e-15 │          2.22e-16 │
│     60 │   LISWET6 │   2002 │   2000 │     first_order │           5.00e+00 │              4.15e-01 │           3.01e-08 │             5.28e-04 │  first_order │        9.31e+01 │           3.10e-02 │        1.00e-06 │          0.00e+00 │
│     61 │      TFI3 │      3 │    101 │     first_order │           4.30e+00 │              1.00e-03 │           4.88e-05 │             2.64e-04 │  first_order │        4.30e+00 │           4.00e-03 │        5.84e-05 │          0.00e+00 │
│     62 │  MINMAXBD │      5 │     20 │     first_order │           1.16e+02 │              7.90e-02 │           1.26e-05 │             8.71e-08 │  first_order │        1.16e+02 │           8.00e-03 │        8.66e-07 │          0.00e+00 │
│     63 │  LUKVLE15 │   9997 │   7497 │     first_order │           2.22e-01 │              2.60e+01 │           8.54e+00 │             2.29e-04 │  first_order │        2.45e-02 │           1.45e+01 │        1.39e+00 │          1.33e-15 │
│     64 │      HS10 │      2 │      1 │     first_order │          -1.00e+00 │              1.00e-03 │           2.07e-12 │             5.91e-07 │  first_order │       -1.00e+00 │           3.00e-03 │        4.79e-05 │          0.00e+00 │
│     65 │      HS40 │      4 │      3 │     first_order │          -2.49e-01 │              0.00e+00 │           5.90e-04 │             9.96e-04 │  first_order │       -2.50e-01 │           1.00e-03 │        1.60e-04 │          2.04e-05 │
│     66 │      OET2 │      3 │   1002 │     first_order │           8.72e-02 │              9.70e-02 │           3.74e-05 │             4.17e-05 │  first_order │        9.27e+00 │           1.00e-01 │        9.77e-04 │          0.00e+00 │
│     67 │   LUKVLI2 │  10000 │   4999 │     first_order │           2.40e+05 │              1.36e+01 │           1.71e-06 │             2.59e-04 │  first_order │        2.41e+05 │           5.93e-01 │        9.55e-01 │          0.00e+00 │
│     68 │      MSS3 │   2070 │   1981 │      infeasible │          -9.89e+02 │              2.75e+01 │           3.91e+01 │             3.18e-02 │  first_order │       -3.30e+02 │           1.59e+02 │        8.84e-03 │          9.49e-08 │
│     69 │       BT8 │      5 │      2 │     first_order │           1.00e+00 │              1.00e-03 │           1.55e-08 │             1.56e-05 │  first_order │        1.00e+00 │           2.00e-03 │        0.00e+00 │          9.77e-04 │
│     70 │      MSS2 │    756 │    703 │      infeasible │          -3.50e+02 │              4.90e+00 │           1.32e-01 │             5.33e-02 │   infeasible │       -3.50e+02 │           1.83e+00 │        2.64e+01 │          3.75e-03 │
│     71 │      OET6 │      5 │   1002 │     first_order │           8.73e-02 │              1.34e-01 │           1.78e-07 │             7.65e-04 │  first_order │        1.98e-01 │           4.22e-01 │        9.38e-04 │          0.00e+00 │
│     72 │       BT1 │      2 │      1 │     first_order │          -1.00e+00 │              0.00e+00 │           4.03e-06 │             2.70e-05 │  first_order │       -1.00e+00 │           2.00e-03 │        3.14e-07 │          3.17e-07 │
│     73 │      HS43 │      4 │      3 │     first_order │          -4.40e+01 │              1.00e-03 │           8.92e-06 │             1.45e-05 │  first_order │       -4.40e+01 │           2.00e-03 │        7.97e-06 │          0.00e+00 │
│     74 │      KSIP │     20 │   1001 │     first_order │           5.76e-01 │              4.03e-01 │           1.77e-09 │             3.12e-04 │  first_order │        8.18e-01 │           2.50e-02 │        1.50e-09 │          0.00e+00 │
